player_name,salary,position,team,game,slate_type,player_image,player_id,draftable_id,game_start,updated_at
Brady Geibel,4500,QB,OSU,BALL @ OSU,Night,https://dkn.gs/sports/images/cfb/teams/50/7874.png,1595880,43974342,09/05/2026 12:30 PM,2026-09-04T16:50:45Z
Kolton Stover,4500,QB,OSU,BALL @ OSU,Night,https://dkn.gs/sports/images/cfb/teams/50/7874.png,1601189,43974344,09/05/2026 12:30 PM,2026-09-04T16:50:45Z
Connor Barry,4500,QB,PSU,MRSHL @ PSU,Night,https://dkn.gs/sports/images/cfb/teams/50/7880.png,1394673,43974346,09/05/2026 03:30 PM,2026-09-04T16:50:45Z
Jack Lambert,4500,QB,PSU,MRSHL @ PSU,Night,https://dkn.gs/sports/images/cfb/teams/50/7880.png,1461707,43974348,09/05/2026 03:30 PM,2026-09-04T16:50:45Z
Kase Evans,4500,QB,PSU,MRSHL @ PSU,Night,https://dkn.gs/sports/images/cfb/teams/50/7880.png,1651137,43974350,09/05/2026 03:30 PM,2026-09-04T16:50:45Z
Peyton Falzone,4500,QB,PSU,MRSHL @ PSU,Night,https://dkn.gs/sports/images/cfb/teams/50/7880.png,1651138,43974352,09/05/2026 03:30 PM,2026-09-04T16:50:45Z
Bodie Derrer,4500,QB,BALL,BALL @ OSU,Night,https://dkn.gs/sports/images/cfb/teams/50/7980.png,1521202,43974354,09/05/2026 12:30 PM,2026-09-04T16:50:45Z
Mason Atkins,4500,QB,BALL,BALL @ OSU,Night,https://dkn.gs/sports/images/cfb/teams/50/7980.png,1650419,43974356,09/05/2026 12:30 PM,2026-09-04T16:50:45Z
Khalel Wright,4500,QB,BALL,BALL @ OSU,Night,https://dkn.gs/sports/images/cfb/teams/50/7980.png,1589798,43974358,09/05/2026 12:30 PM,2026-09-04T16:50:45Z
Levi Davis,4500,QB,OHIO,OHIO @ NEB,Night,https://dkn.gs/sports/images/cfb/teams/50/8018.png,1651704,43974360,09/05/2026 12:00 PM,2026-09-04T16:50:45Z
Hype Grand,4500,QB,OHIO,OHIO @ NEB,Night,https://dkn.gs/sports/images/cfb/teams/50/8018.png,1590802,43974362,09/05/2026 12:00 PM,2026-09-04T16:50:45Z
