player_name,salary,position,team,game,slate_type,player_image,player_id,draftable_id,game_start,updated_at
Re'Shaun Sanford II,4800,RB,UH,ORST @ UH,Night,https://dkn.gs/sports/images/cfb/teams/50/8224.png,1451937,43974585,09/05/2026 12:00 PM,2026-09-04T16:50:45Z
Jo'Shon Barbie,4800,RB,MRSHL,MRSHL @ PSU,Night,https://dkn.gs/sports/images/cfb/teams/50/8991.png,1398700,43974588,09/05/2026 03:30 PM,2026-09-04T16:50:45Z
Jevon Edwards,4800,RB,C-C,C-C @ WVU,Night,,1585742,43974591,09/05/2026 12:00 PM,2026-09-04T16:50:45Z
Jeremiah Koger,4800,WR,AUB,BAY @ AUB,Night,https://dkn.gs/sports/images/cfb/teams/50/8183.png,1584493,43975044,09/05/2026 03:30 PM,2026-09-04T16:50:45Z
Louis Brown IV,4800,WR,BAY,BAY @ AUB,Night,https://dkn.gs/sports/images/cfb/teams/50/8210.png,1397454,43975047,09/05/2026 03:30 PM,2026-09-04T16:50:45Z
Bryson Donelson,4800,RB,FRES,FRES @ USC,Night,https://dkn.gs/sports/images/cfb/teams/50/8301.png,1519544,44006527,09/04/2026 09:00 PM,2026-09-04T16:50:45Z
Chrishon McCray,4800,WR,MSU,TOL @ MSU,Night,https://dkn.gs/sports/images/cfb/teams/50/7850.png,1395226,44006695,09/04/2026 08:00 PM,2026-09-04T16:50:45Z
Henry Belin IV,4800,QB,MOST,MOST @ TA&M,Night,,1392648,44017819,09/05/2026 07:00 PM,2026-09-04T16:50:45Z
Bryson Roland,4800,RB,ULM,ULM @ MSST,Night,https://dkn.gs/sports/images/cfb/teams/50/8388.png,1663341,44017968,09/05/2026 07:30 PM,2026-09-04T16:50:45Z
Cameron Seldon,4800,WR,USF,FIU @ USF,Night,https://dkn.gs/sports/images/cfb/teams/50/9418.png,1442963,44018250,09/05/2026 07:00 PM,2026-09-04T16:50:45Z
Andrew Marsh,4800,WR,MICH,WMU @ MICH,Night,https://dkn.gs/sports/images/cfb/teams/50/7841.png,1583621,44018256,09/05/2026 07:30 PM,2026-09-04T16:50:45Z
Bryan Jackson II,4800,RB,WISC,WISC @ ND,Classic,https://dkn.gs/sports/images/cfb/teams/50/7894.png,1509146,44024295,09/06/2026 07:30 PM,2026-09-04T16:50:46Z
TreyShun Hurry,4800,WR,UL,UL @ MISS,Classic,https://dkn.gs/sports/images/cfb/teams/50/8373.png,1391427,44024418,09/06/2026 07:30 PM,2026-09-04T16:50:46Z
Ashten Emory,4800,RB,CAL,UCLA @ CAL,Night,https://dkn.gs/sports/images/cfb/teams/50/8049.png,1514357,44019228,09/05/2026 10:30 PM,2026-09-04T16:50:46Z
Cameron Flowers,4800,WR,WKU,WKU @ NEV,Night,https://dkn.gs/sports/images/cfb/teams/50/9305.png,1518349,44019363,09/05/2026 10:30 PM,2026-09-04T16:50:46Z
Atticus Joseph,4800,WR,STAN,MIA @ STAN,Showdown Captain Mode,https://dkn.gs/sports/images/cfb/teams/50/8084.png,1659892,44009841,09/04/2026 09:00 PM,2026-09-04T16:50:46Z
TreyShun Hurry,4800,WR,UL,UL @ MISS,Night,https://dkn.gs/sports/images/cfb/teams/50/8373.png,1391427,44025763,09/06/2026 07:30 PM,2026-09-04T16:50:47Z
